Id,Name,RecordTypeId,FieldApiName__c,Filter__c,RelatedObject__c,ProductType__c,DisplayOrder__c,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
a0X3O000004LzKUUA0,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,BuildingSavings,,Text;CustomSearchFilter__c
a0X3O000004LzJWUA0,PSČ,0123O0000012x9dQAA,AccountPostalCode__c,exact match;start with,Asset,RiskLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzHbUAK,Město klienta,0123O0000012x9dQAA,AccountCity__c,exact match;contains,Asset,InvestmentLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzKjUAK,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,PMO,,Text;CustomSearchFilter__c
a0X3O000004LzKtUAK,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,RiskLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzDQUA0,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Asset,RiskLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004MeHyUAK,StateCode,0123O0000012x9dQAA,StateCode__c,contains,Asset,CSOBCurrentAccount,,Text;CustomSearchFilter__c
a0X3O000004LzLhUAK,Příspěvek celkem,0123O0000012x9cQAA,MonthFeeTotal__c,<=;>=,Asset,PensionProducts,,Number;CustomSearchFilter__c
a0X3O000004LzNhUAK,Datum uzavření,0123O0000012x9bQAA,ProductCloseDate__c,<=;>=,Asset,RiskLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzM1UAK,Podtyp produktu,0123O0000012x9dQAA,ProductSubtype__c,exact match;contains,Asset,PensionProducts,,Text;CustomSearchFilter__c
a0X3O000004LzCNUA0,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Asset,CreditAndIntermediateLoan,,Number;CustomSearchFilter__c
a0X3O000004LzHlUAK,Město klienta,0123O0000012x9dQAA,AccountCity__c,exact match;contains,Asset,PensionProducts,,Text;CustomSearchFilter__c
a0X3O000004LzLrUAK,Pozůstalostní penze,0123O0000012x9aQAA,EstatePension__c,N/A,Asset,PensionProducts,,Boolean;CustomSearchFilter__c
a0X3O000004LzM6UAK,Datum uzavření,0123O0000012x9bQAA,ProductCloseDate__c,<=;>=,Asset,InvestmentLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzMHUA0,Platnost od,0123O0000012x9bQAA,ValidFrom__c,<=;>=,Asset,InvestmentLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzMIUA0,Datum aktivace,0123O0000012x9bQAA,ActivationDate__c,<=;>=,Asset,RiskLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzJBUA0,PSČ,0123O0000012x9dQAA,AccountPostalCode__c,exact match;start with,Asset,InvestmentLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzCXUA0,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Asset,InvestmentLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004LzKoUAK,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,PensionProducts,,Text;CustomSearchFilter__c
a0X3O000004LzKyUAK,Datum prvního čerpání úvěru,0123O0000012x9bQAA,FirstDrawDate__c,<=;>=,Asset,CSOBCurrentAccount,,Date;CustomSearchFilter__c
a0X3O000004LzCcUAK,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Asset,BuildingSavings,,Number;CustomSearchFilter__c
a0X3O000004McXIUA0,Výročí - měsíc,0123O0000012x9cQAA,Anniversary__c,<=;>=,Asset,PMO,,Number;CustomSearchFilter__c
a0X3O000004Mrl8UAC,Plán. datum splac. ÚP,0123O0000012x9bQAA,PlanCreditPayment__c,<=;>=,Asset,CreditCases,,Date;CustomSearchFilter__c
a0X3O000004MrkyUAC,Typ úvěru,0123O0000012x9dQAA,CreditType__c,contains;start with,Asset,CreditCases,,Text;CustomSearchFilter__c
a0X3O000004Mrl3UAC,Termín úplného vyčerpání,0123O0000012x9bQAA,DrawdownTerm__c,<=;>=,Asset,CreditCases,,Date;CustomSearchFilter__c
a0X3O000004LzJMUA0,PSČ,0123O0000012x9dQAA,AccountPostalCode__c,exact match;start with,Asset,PMO,,Text;CustomSearchFilter__c
a0X3O000004LzCIUA0,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Account,PersonAccount,,Number;CustomSearchFilter__c
a0X3O000004LzLXUA0,Datum uzavření,0123O0000012x9bQAA,ProductCloseDate__c,<=;>=,Asset,PensionProducts,,Date;CustomSearchFilter__c
a0X3O000004LzLYUA0,Zaměstnavatel přispívá,0123O0000012x9aQAA,EmployerContribution__c,N/A,Asset,PensionProducts,,Boolean;CustomSearchFilter__c
a0X3O000004LzLZUA0,Spořicí pojistné,0123O0000012x9cQAA,SavingPremium__c,<=;>=,Asset,InvestmentLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004LzMoUAK,Rizikové pojistné,0123O0000012x9cQAA,RiskPremium__c,<=;>=,Asset,InvestmentLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004LzKeUAK,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,InvestmentLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzMMUA0,Platnost do,0123O0000012x9bQAA,ValidFrom__c,<=;>=,Asset,InvestmentLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzLcUAK,Měsíční příspěvek účastník,0123O0000012x9cQAA,MonthFeeParticipant__c,<=;>=,Asset,PensionProducts,,Number;CustomSearchFilter__c
a0X3O000004LzMRUA0,Lhůtní pojistné,0123O0000012x9cQAA,TimePremium__c,<=;>=,Asset,InvestmentLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004LzKFUA0,Datum poslední interakce,0123O0000012x9bQAA,LastInteractionDate__c,<=;>=,Asset,RiskLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzIaUAK,PSČ,0123O0000012x9dQAA,AccountPostalCode__c,exact match;start with,Asset,CreditAndIntermediateLoan,,Text;CustomSearchFilter__c
a0X3O000004LzL3UAK,Datum uzavření,0123O0000012x9bQAA,ProductCloseDate__c,<=;>=,Asset,PMO,,Date;CustomSearchFilter__c
a0X3O000004LzKZUA0,Detailní stav,0123O0000012x9dQAA,Status__c,exact match;contains,Asset,CreditAndIntermediateLoan,,Text;CustomSearchFilter__c
a0X3O000004LzHgUAK,Město klienta,0123O0000012x9dQAA,AccountCity__c,exact match;contains,Asset,PMO,,Text;CustomSearchFilter__c
a0X3O000004LzHwUAK,Město klienta,0123O0000012x9dQAA,AccountCity__c,exact match;contains,Asset,RiskLifeInsurance,,Text;CustomSearchFilter__c
a0X3O000004LzJRUA0,PSČ,0123O0000012x9dQAA,AccountPostalCode__c,exact match;start with,Asset,PensionProducts,,Text;CustomSearchFilter__c
a0X3O000004LzLwUAK,Invalidní penze,0123O0000012x9aQAA,DisabilityPension__c,N/A,Asset,PensionProducts,,Boolean;CustomSearchFilter__c
a0X3O000004LzK5UAK,Datum poslední interakce,0123O0000012x9bQAA,LastInteractionDate__c,<=;>=,Asset,PensionProducts,,Date;CustomSearchFilter__c
a0X3O000004LzLmUAK,Prodleva > 1 rok,0123O0000012x9aQAA,DelayInPaymentMorethanOneYear__c,N/A,Asset,PensionProducts,,Boolean;CustomSearchFilter__c
a0X3O000004LzJbUAK,PSČ,0123O0000012x9dQAA,BillingPostalCode,exact match;start with,Account,PersonAccount,,Text;CustomSearchFilter__c
a0X3O000004LzJcUAK,Datum poslední interakce,0123O0000012x9bQAA,LastInteractionDate__c,<=;>=,Asset,PMO,,Date;CustomSearchFilter__c
a0X3O000004LzHWUA0,Město klienta,0123O0000012x9dQAA,AccountCity__c,exact match;contains,Asset,CreditAndIntermediateLoan,,Text;CustomSearchFilter__c
a0X3O000004LzK0UAK,Datum poslední interakce,0123O0000012x9bQAA,LastInteractionDate__c,<=;>=,Asset,CreditAndIntermediateLoan,,Date;CustomSearchFilter__c
a0X3O000004LzK1UAK,Datum poslední interakce,0123O0000012x9bQAA,LastInteractionDate__c,<=;>=,Asset,InvestmentLifeInsurance,,Date;CustomSearchFilter__c
a0X3O000004LzNmUAK,Skutečná pojistná částka,0123O0000012x9cQAA,ActualInsuranceAmount__c,<=;>=,Asset,RiskLifeInsurance,,Number;CustomSearchFilter__c
a0X3O000004LzChUAK,Věk klienta,0123O0000012x9cQAA,Age__c,<=;>=;=,Asset,PensionProducts,,Number;CustomSearchFilter__c
