Name,RecordTypeId,FieldApiName__c,Filter__c,RelatedObject__c,ProductType__c,DisplayOrder__c,Errors,Id
Smart za posledních 92 dní,0121X000005ITffQAG,SmartLoginIn92Days__c,N/A,Account,PersonAccount,,,a0Q1X000003L8sTUAS
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8sUUAS
Konec fixace,0121X000005ITfgQAG,NearestReFixationDate__c,<=;>=;=,Asset,Mortgages,,,a0Q1X000003L8sVUAS
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8sWUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8sXUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,Mortgages,,,a0Q1X000003L8sYUAS
Délka fixace v letech,0121X000005ITfhQAG,FixationLength__c,<=;>=;=,Asset,Mortgages,,,a0Q1X000003L8sZUAS
Úroková sazba,0121X000005ITfhQAG,CurrentInterestRate__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8saUAC
Platnost úrokové sazby do,0121X000005ITfgQAG,InterestRateValidTo__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8sbUAC
Typ produktu,0121X000005ITfiQAG,ProductType__c,contains;start with,Asset,CSOBCurrentAccount,,,a0Q1X000003L8scUAC
Smart poslední přihlášení,0121X000005ITfgQAG,SmartLastLogin__c,<=;>=,Account,PersonAccount,,,a0Q1X000003L8sdUAC
Aktuální předschválená částka SÚ,0121X000005ITfhQAG,CurrentPreApprovedAmount__c,<=;>=,Account,PersonAccount,,,a0Q1X000003L8seUAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=,Asset,PMO,,,a0Q1X000003L8sfUAC
Příjmení,0121X000005ITfiQAG,LastName,exact match;start with,Account,PersonAccount,,,a0Q1X000003L8sgUAC
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,BuildingSavings,,,a0Q1X000003L8shUAC
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,RiskLifeInsurance,,,a0Q1X000003L8siUAC
